"location","acute_time","acute_care_centre","id","x","y","silver_rehab_centre","gold_rehab_centre","rehab_time"
"Wallangarra",195,"Brisbane (PAH/RBWH)",1437,151.9262,-28.92345,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",176.54359463
"Texas",195,"Brisbane (PAH/RBWH)",1436,151.1692,-28.85306,"Royal Brisbane and Women's Hospital (RBWH)","Princess Alexandra Hospital (PAH)",203.92522341
"Smithfield",183,"Townsville University Hospital",1435,145.690172,-16.83142,"Cairns Hospital","Townsville University Hospital",134.222506395
"Johnstone",345,"Brisbane (PAH/RBWH)",1434,148.5382,-28.6787,"Roma Hospital","Princess Alexandra Hospital (PAH)",275.520494745
"Stanthorpe",170,"Brisbane (PAH/RBWH)",1433,151.9327,-28.65779,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",152.3265671
"Dirranbandi",345,"Brisbane (PAH/RBWH)",1432,148.2271,-28.5841,"Roma Hospital","Princess Alexandra Hospital (PAH)",279.19051503
"Yelarbon",216,"Brisbane (PAH/RBWH)",1431,150.7524,-28.57416,"Royal Brisbane and Women's Hospital (RBWH)","Princess Alexandra Hospital (PAH)",206.214898375
"Goondiwindi",216,"Brisbane (PAH/RBWH)",1430,150.3062,-28.54799,"Roma Hospital","Princess Alexandra Hospital (PAH)",224.35145201
"Inglewood",183,"Brisbane (PAH/RBWH)",1429,151.0795,-28.41751,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",179.77983077
"Killarney",149,"Brisbane (PAH/RBWH)",1141,152.2963,-28.33305,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",125.95798438
"Warwick",149,"Brisbane (PAH/RBWH)",1428,152.0311,-28.21745,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",110.69038149
"Rathdowney",137,"Brisbane (PAH/RBWH)",1427,152.8635,-28.20976,"Logan Hospital","Princess Alexandra Hospital (PAH)",74.51598883
"Yangan",149,"Brisbane (PAH/RBWH)",1426,152.2107,-28.19552,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",110.32258503
"Springbrook",61,"Gold Coast University Hospital",1425,153.2644,-28.18766,"Gold Coast University Hospital","Princess Alexandra Hospital (PAH)",61.89129285
"Beechmont",53,"Gold Coast University Hospital",1424,153.206,-28.09893,"Gold Coast University Hospital","Princess Alexandra Hospital (PAH)",54.59096696
"Kooralbyn",128,"Gold Coast University Hospital",1423,152.8443,-28.08068,"Logan Hospital","Princess Alexandra Hospital (PAH)",70.588792225
"Cunnamulla",351,"Brisbane (PAH/RBWH)",1422,145.6832,-28.06921,"Roma Hospital","Princess Alexandra Hospital (PAH)",402.227548
"Lower Beechmont",40,"Gold Coast University Hospital",1421,153.2516,-28.04105,"Gold Coast University Hospital","Princess Alexandra Hospital (PAH)",41.49187337
"St George",286,"Brisbane (PAH/RBWH)",1420,148.5812,-28.03888,"Roma Hospital","Princess Alexandra Hospital (PAH)",226.61313207
"Allora",170,"Brisbane (PAH/RBWH)",1419,151.982,-28.03472,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",109.27837318
"Canungra",48,"Gold Coast University Hospital",1418,153.1598,-28.01415,"Gold Coast University Hospital","Princess Alexandra Hospital (PAH)",47.86985817
"Boonah",129,"Brisbane (PAH/RBWH)",1417,152.6824,-27.9978,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",61.17967837
"Thargomindah",375,"Brisbane (PAH/RBWH)",1416,143.8229,-27.99583,"Roma Hospital","Princess Alexandra Hospital (PAH)",528.71196751
"Gold Coast",26,"Gold Coast University Hospital",1415,153.4277,-27.99114,"Gold Coast University Hospital","Princess Alexandra Hospital (PAH)",32.35222577
"Beaudesert",75,"Brisbane (PAH/RBWH)",1414,152.9992,-27.98632,"Logan Hospital","Princess Alexandra Hospital (PAH)",52.181485475
"Aratula",77,"Brisbane (PAH/RBWH)",1413,152.5384,-27.98409,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",62.0275709
"Mount Nathan",38,"Gold Coast University Hospital",1412,153.2639,-27.97678,"Gold Coast University Hospital","Princess Alexandra Hospital (PAH)",36.71769324
"Mount Tamborine",45,"Gold Coast University Hospital",1411,153.2014,-27.97114,"Gold Coast University Hospital","Princess Alexandra Hospital (PAH)",43.067508305
"Boyland",55,"Gold Coast University Hospital",1410,153.1642,-27.94939,"Logan Hospital","Princess Alexandra Hospital (PAH)",45.111777665
"Gleneagle",66,"Brisbane (PAH/RBWH)",1409,152.9918,-27.94234,"Logan Hospital","Princess Alexandra Hospital (PAH)",45.781244805
"Kalbar",129,"Brisbane (PAH/RBWH)",1408,152.6229,-27.94196,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",58.29706134
"Maudsland",31,"Gold Coast University Hospital",1407,153.2774,-27.93276,"Gold Coast University Hospital","Princess Alexandra Hospital (PAH)",30.34350339
"Clifton",164,"Brisbane (PAH/RBWH)",1406,151.9083,-27.92996,"Princess Alexandra Hospital (PAH)","Princess Alexandra Hospital (PAH)",120.8941977
"Eagle Heights",49,"Gold Coast University Hospital",1405,153.2054,-27.92251,"Gold Coast University Hospital","Princess Alexandra Hospital (PAH)",43.66494125
